#ID,２Ｄ演出,３Ｄ演出,,,,,共通演出,機能1,,,,,,,,,,,,,,,,,,,,,,,,
#,２D演出スクリプト,３D演出カットインスクリプト,３D演出プレイリスト,着弾エフェクト,着弾位置,チャージ演出プレイリスト,ムービー名,タイプ,ターゲット,自身除く,火,氷,風,光,闇,土,雷,水,無,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8,パラメータ9,パラメータ10,チェイン倍率,ヘイト上限,
60000221,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,2,,,,WIND,ALL,0,0,,1,10000,
60000222,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,WIND,ALL,0,0,,1,10000,
60000223,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,WIND,ALL,0,0,,1,10000,
60000231,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,2,,,,LIGHT,ALL,0,0,,1,10000,
60000232,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,LIGHT,ALL,0,0,,1,10000,
60000233,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,LIGHT,ALL,0,0,,1,10000,
60000241,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,2,,,,DARK,ALL,0,0,,1,10000,
60000242,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,DARK,ALL,0,0,,1,10000,
60000243,,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,DARK,ALL,0,0,,1,10000,
60000251,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,ATK,0,0,,1,10000,
60000252,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,ATK,0,0,,1,10000,
60000253,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,FIRE,ATK,0,0,,1,10000,
60000261,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,ATK,0,0,,1,10000,
60000262,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,ATK,0,0,,1,10000,
60000263,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,ATK,0,0,,1,10000,
60000271,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,ATK,0,0,,1,10000,
60000272,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,ATK,0,0,,1,10000,
60000273,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,ATK,0,0,,1,10000,
60000281,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,ATK,0,0,,1,10000,
60000282,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,ATK,0,0,,1,10000,
60000283,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,ATK,0,0,,1,10000,
60000291,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,ATK,0,0,,1,10000,
60000292,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,ATK,0,0,,1,10000,
60000293,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,ATK,0,0,,1,10000,
60000301,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,INT,0,0,,1,10000,
60000302,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,INT,0,0,,1,10000,
60000303,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,FIRE,INT,0,0,,1,10000,
60000311,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,INT,0,0,,1,10000,
60000312,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,INT,0,0,,1,10000,
60000313,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,INT,0,0,,1,10000,
60000321,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,INT,0,0,,1,10000,
60000322,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,INT,0,0,,1,10000,
60000323,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,INT,0,0,,1,10000,
60000331,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,INT,0,0,,1,10000,
60000332,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,INT,0,0,,1,10000,
60000333,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,INT,0,0,,1,10000,
60000341,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,INT,0,0,,1,10000,
60000342,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,INT,0,0,,1,10000,
60000343,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,INT,0,0,,1,10000,
60000351,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,ATK,0,0,,1,10000,
60000351,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,INT,0,0,,1,10000,
60000352,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,ATK,0,0,,1,10000,
60000352,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,INT,0,0,,1,10000,
60000353,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,ATK,0,0,,1,10000,
60000353,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,INT,0,0,,1,10000,
60000361,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,ATK,0,0,,1,10000,
60000361,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,INT,0,0,,1,10000,
60000362,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,ATK,0,0,,1,10000,
60000362,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,INT,0,0,,1,10000,
60000363,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,ATK,0,0,,1,10000,
60000363,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,INT,0,0,,1,10000,
60000371,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,ATK,0,0,,1,10000,
60000371,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,INT,0,0,,1,10000,
60000372,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,ATK,0,0,,1,10000,
60000372,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,INT,0,0,,1,10000,
60000373,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,ATK,0,0,,1,10000,
60000373,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,INT,0,0,,1,10000,
60000381,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,ATK,0,0,,1,10000,
60000381,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,INT,0,0,,1,10000,
60000382,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,ATK,0,0,,1,10000,
60000382,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,INT,0,0,,1,10000,
60000383,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,ATK,0,0,,1,10000,
60000383,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,INT,0,0,,1,10000,
60000391,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,ATK,0,0,,1,10000,
60000391,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,INT,0,0,,1,10000,
60000392,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,ATK,0,0,,1,10000,
60000392,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,INT,0,0,,1,10000,
60000393,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,ATK,0,0,,1,10000,
60000393,,,,,,,,ATK_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,INT,0,0,,1,10000,
60000401,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,DEF,0,0,,1,10000,
60000402,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,DEF,0,0,,1,10000,
60000403,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,FIRE,DEF,0,0,,1,10000,
60000411,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,DEF,0,0,,1,10000,
60000412,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,DEF,0,0,,1,10000,
60000413,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,DEF,0,0,,1,10000,
60000421,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,DEF,0,0,,1,10000,
60000422,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,DEF,0,0,,1,10000,
60000423,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,DEF,0,0,,1,10000,
60000431,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,DEF,0,0,,1,10000,
60000432,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,DEF,0,0,,1,10000,
60000433,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,DEF,0,0,,1,10000,
60000441,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,DEF,0,0,,1,10000,
60000442,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,DEF,0,0,,1,10000,
60000443,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,DEF,0,0,,1,10000,
60000451,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,MDEF,0,0,,1,10000,
60000452,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,MDEF,0,0,,1,10000,
60000453,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,FIRE,MDEF,0,0,,1,10000,
60000461,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,MDEF,0,0,,1,10000,
60000462,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,MDEF,0,0,,1,10000,
60000463,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,MDEF,0,0,,1,10000,
60000471,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,MDEF,0,0,,1,10000,
60000472,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,MDEF,0,0,,1,10000,
60000473,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,MDEF,0,0,,1,10000,
60000481,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,MDEF,0,0,,1,10000,
60000482,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,MDEF,0,0,,1,10000,
60000483,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,MDEF,0,0,,1,10000,
60000491,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,MDEF,0,0,,1,10000,
60000492,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,MDEF,0,0,,1,10000,
60000493,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,MDEF,0,0,,1,10000,
60000501,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,DEF,0,0,,1,10000,
60000501,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,MDEF,0,0,,1,10000,
60000502,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,DEF,0,0,,1,10000,
60000502,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,MDEF,0,0,,1,10000,
60000503,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,DEF,0,0,,1,10000,
60000503,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,MDEF,0,0,,1,10000,
60000511,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,DEF,0,0,,1,10000,
60000511,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,MDEF,0,0,,1,10000,
60000512,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,DEF,0,0,,1,10000,
60000512,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,MDEF,0,0,,1,10000,
60000513,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,DEF,0,0,,1,10000,
60000513,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,MDEF,0,0,,1,10000,
60000521,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,DEF,0,0,,1,10000,
60000521,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,MDEF,0,0,,1,10000,
60000522,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,DEF,0,0,,1,10000,
60000522,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,MDEF,0,0,,1,10000,
60000523,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,DEF,0,0,,1,10000,
60000523,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,MDEF,0,0,,1,10000,
60000531,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,DEF,0,0,,1,10000,
60000531,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,MDEF,0,0,,1,10000,
60000532,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,DEF,0,0,,1,10000,
60000532,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,MDEF,0,0,,1,10000,
60000533,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,DEF,0,0,,1,10000,
60000533,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,MDEF,0,0,,1,10000,
60000541,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,DEF,0,0,,1,10000,
60000541,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,MDEF,0,0,,1,10000,
60000542,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,DEF,0,0,,1,10000,
60000542,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,MDEF,0,0,,1,10000,
60000543,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,DEF,0,0,,1,10000,
60000543,,,,,,,,DEF_UP_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,MDEF,0,0,,1,10000,
60000551,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,ATK,0,0,,1,10000,
60000552,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,ATK,0,0,,1,10000,
60000553,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,FIRE,ATK,0,0,,1,10000,
60000561,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,ATK,0,0,,1,10000,
60000562,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,ATK,0,0,,1,10000,
60000563,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,ATK,0,0,,1,10000,
60000571,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,ATK,0,0,,1,10000,
60000572,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,ATK,0,0,,1,10000,
60000573,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,ATK,0,0,,1,10000,
60000581,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,ATK,0,0,,1,10000,
60000582,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,ATK,0,0,,1,10000,
60000583,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,ATK,0,0,,1,10000,
60000591,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,ATK,0,0,,1,10000,
60000592,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,ATK,0,0,,1,10000,
60000593,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,ATK,0,0,,1,10000,
60000601,,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,INT,0,0,,1,10000,
