#ID,基カードID,同カードID,冠名,メイン名,サブ名,スタックか？,属性,レアリティ,コスト,パラメータ,,,,,,,,,,,,レベル最大,忠誠度最大,名声最大,リーダースキル(カードのレベルアップによる変化表),,,,,,,,,,,,,,,,,,,,通常スキルID,アーサーボーナススキルID,ジョブボーナススキルID,スキルLv上限,スキルｶｯﾄｲﾝID,PictID,,,,拡大画像,経験値ID,売却値段,合成素材フラグ,売却素材フラグ,進化合成,,,,,,,,フレーバーテキスト,イラストレーター,声優,プロフィール（データ）,,,,,,,,,,,,,,,見た目（通常）,,,,,,,,,,,,,見た目（親密度MAX）,,,,,,,,,,,,,騎士セリフ,,,,,,,,,,,,,,,ボイスID,,,,,,,,,,ダウンロード中表示,
#,,,,,,,,,,HP,成長限界HP,忠誠度MAXボーナス,ATK,成長限界ATK,忠誠度MAXボーナス,INT,成長限界INT,忠誠度MAXボーナス,MND,成長限界MND,忠誠度MAXボーナス,,,,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,,,,,,通常,種別,MAX,種別,サイズ,LVUP,,,,基礎費用,進化後ID,素材ID1,素材ID2,素材ID3,素材ID4,素材ID5,素材ID6,,,,性別,3S/B,3S/W,3S/H,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,ダウンロード中,ガチャと新規入手,進化合成,騎士LvUP,スキルLvUP,騎士LvMAX,探索出発,探索アーサー支援,探索宝箱,探索強敵,忠誠度UP,忠誠度MAX,スキル発動（攻妨特）,スキル発動（回支防）,コンティニュー,挨拶,騎士LvUP,探索出発,未：探索アーサー支援[代：挨拶],探索宝箱,未：探索強敵[代：探索出発],未：忠誠度UP[代：騎士LvUP],スキル発動（物魔妨特）,スキル発動（回支防）,コンティニュー,,
#レアリティ参照用ダミー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000035,10000035,10000034,変幻の騎士,支援型オルトリート,,,LIGHT,RARE,0,270,400,0,0,0,0,0,0,0,45,67,0,30,100,50,,,,,,,,,,,,,,,,,,,,,14300101,14300102,,1,1,10000035,0,10000035,1,M,103,1000,,,15000,10000036,20000013,20000013,20000013,20000008,,,様々な物品・人物を白鳥に変身させる<br>魔法を使った攪乱を得意とする騎士。<br>金のために戦う、という意味ではテル<br>ラムントに似ているが、実際には金品<br>そのものより、それに振り回される<br>人々を見て愉悦に浸る節がある。悪性<br>においてはテルラムント以上であり、<br>彼女を運用する場合、味方側の混乱も<br>考慮した上で組み込む必要がある。,バチ子,上坂 すみれ,FEMALE,82,57,79,152,49,RIGHT,,,,,,,,,女性,B:82、W:57、H:79,152cm,49kg,右,,,,,,,,,女性,B:82、W:57、H:79,152cm,49kg,右,,,,,,,,,私がお金にがめついのには、<br>深い深い理由があるんです……。<br>すごく、お金が、好きなんですっ！！,私を好きなように使ってください。<br>そして、お金もください。,能力が跳ね上がりましたよ！<br>お給料も跳ね上がりますか？,力が上がれば、<br>手に入れられるモノも増えますね。,また一つ、賢くなりましたよ。<br>いろいろとね……。,試しにお金くれたら、<br>もう少し上がるかもしれませんよ。,いざ、行かん。<br>金目の物を探しに！！,お礼は現金で！,たとえ罠があっても開けるべきです！<br>あなたが……！,あいつと戦うんですか？<br>ケガしたら労災下りますか？,忠誠心もお金次第ですよね～。,大物になって、<br>私を一生養ってくださいね。,お金くれたら手かげんします！,後でお金は請求しますよ！,遺言を！　全財産をオルトリートへ、と！,600100010,600100020,600100030,600100010,600100050,600100030,600100020,600100090,600100090,600100100,,
10000036,10000036,10000034,愉悦の幻術士,支援型オルトリート,,,LIGHT,SUPERRARE,0,419,699,0,0,0,0,0,0,0,70,117,0,40,100,70,,,,,,,,,,,,,,,,,,,,,14300111,14300112,,1,1,10000036,0,10000036,1,M,104,5000,,,20000,10000037,20000023,20000018,20000018,20000013,20000013,,様々な物品・人物を白鳥に変身させる<br>魔法を使った攪乱を得意とする騎士。<br>金のために戦う、という意味ではテル<br>ラムントに似ているが、実際には金品<br>そのものより、それに振り回される<br>人々を見て愉悦に浸る節がある。悪性<br>においてはテルラムント以上であり、<br>彼女を運用する場合、味方側の混乱も<br>考慮した上で組み込む必要がある。,バチ子,上坂 すみれ,FEMALE,82,57,79,152,49,RIGHT,,,,,,,,,女性,B:82、W:57、H:79,152cm,49kg,右,,,,,,,,,女性,B:82、W:57、H:79,152cm,49kg,右,,,,,,,,,私、そんなお金に汚いように見えますか？<br>ひどい……！<br>慰謝料ください！！,私を引き当てたお祝いに、<br>ご祝儀ください！,確か私は能力給でしたから、<br>能力上昇に応じてお給金も……。,この力はお金のために！,使いたい時は言ってください。<br>安くしときますよ。,めでたいですねー。<br>記念にお金ください。,下を向いて歩いていきましょう！<br>何か落ちてるかもしれませんし。,お助けします！<br>お給料分は！！,お宝ですよ！　確認しましょうか？<br>私一人で……。,危なくなったら、<br>お金で解決できますか？,気前いい人は好きですよ。,あなたを裏切ることはありません。<br>だからお財布の紐を<br>私に預けてください！,金品を落としなさい！,私の力はお金のために！,これまでの負けを取り戻しましょう！,600100010,600100020,600100030,600100010,600100050,600100030,600100020,600100090,600100090,600100100,,
10000037,10000037,10000034,混沌の幻術姫,支援型オルトリート,,,LIGHT,ULTRARARE,0,779,1154,0,0,0,0,0,0,0,130,192,0,50,100,90,,,,,,,,,,,,,,,,,,,,,14300121,14300122,,1,1,10000037,0,10000037,1,L,105,15000,,,,,,,,,,,様々な物品・人物を白鳥に変身させる<br>魔法を使った攪乱を得意とする騎士。<br>金のために戦う、という意味ではテル<br>ラムントに似ているが、実際には金品<br>そのものより、それに振り回される<br>人々を見て愉悦に浸る節がある。悪性<br>においてはテルラムント以上であり、<br>彼女を運用する場合、味方側の混乱も<br>考慮した上で組み込む必要がある。,バチ子,上坂 すみれ,FEMALE,82,57,79,152,49,RIGHT,,,,,,,,,女性,B:82、W:57、H:79,152cm,49kg,右,,,,,,,,,女性,B:82、W:57、H:79,152cm,49kg,右,,,,,,,,,お給料が少ないと、士気が落ちますよね。<br>場合によっては裏切ることなんかも……、<br>なぁんて、冗談ですよ♪　たぶん……。,私は激レアなので、お給料も<br>それなりに頂きますが、何か？,昇格祝いください！<br>重役待遇でお願いします！！,また一つ野望に近づきました。,技も宝石も磨いた方が<br>価値が高いですよね。,これ以上は上がりませんよ。<br>私の金に対する欲望以外は……。,私を同伴させると、<br>何かとお金がかかりますよ。,あなたが死んだら、<br>誰がお給料くれるんですか！,渡る世間は金次第。<br>開けときましょう、宝箱！,強敵です。<br>危険ですけど稼ぎどきですよ。,王様ってけっこう<br>気前いいですよね。,身も心もあなたのものです。<br>お財布以外は……。,命はお金で買えないんですよ！,恩はお金で返してください。,あなたはまだ稼げます！,600100010,600100020,600100030,600100010,600100050,600100030,600100020,600100090,600100090,600100100,,
10002011,10002011,10002011,騎士,第二型カログレナント,,,FIRE,RARE,0,135,200,0,22,33,0,22,33,0,22,33,0,30,100,50,,,,,,,,,,,,,,,,,,,,,14400011,14400012,,1,1,10002011,0,10002011,1,M,103,1000,,,15000,10002012,20000010,20000010,20000010,20000005,,,不幸だの不運だのではなく、単純に注<br>意力が散漫なのが原因で数々のトラブ<br>ルを起こす騎士。特に『断絶の時代』<br>の遺跡のトラップには真っ先に挑戦し<br>て真っ先に引っかかるため、ある意味<br>で他の騎士達が安全に調査できる環境<br>を整えていると言えなくもない。怪談<br>話にありがちな、最初の目撃者。怪異<br>に一番近い位置にいながら、解決する<br>側には回れない損な役回りを背負って<br>いる。,モタ,村上 裕哉,MALE,88,72,86,181,73,RIGHT,,,,,,,,,男性,C:88、W:72、H:86,181cm,73kg,右,,,,,,,,,男性,C:88、W:72、H:86,181cm,73kg,右,,,,,,,,,失敗しても良い。何度でも間違ってやる。<br>後に続く者が速やかに正解へ辿り着ければ、<br>私はそれで笑っていられる。,私を手に入れるとは、そなたは<br>運が良いのか、悪いのか……。,私を手に入れるとは、そなたは<br>運が良いのか、悪いのか……。,トラップを踏む度に、<br>私は強くなるのだ。,トラップを回避する技術だけは、<br>一向に身につかん。,数多くのトラップにかかってきた<br>甲斐があるというものだ。,私にあまり近づかないでくれ。<br>悪運に巻き込まれてしまうぞ。,私がそなたの盾となろう。<br>身体は丈夫にできているからな。,宝箱だ。<br>トラップは……ないようだな。,強敵だ。私の悪運が<br>引き寄せてしまったようだな。,その幸運を分けて欲しいものだ。,そなたを守ったと思えば、<br>この傷の一つ一つも勲章に思えてくるよ。,この悪運に巻き込まれてみるか？,私の悪運に巻き込まれないでくれ。,これも、私の悪運のせいか……。,601210010,601210020,601210030,601210010,601210050,601210030,601210020,601210090,601210090,601210100,,
10002012,10002012,10002011,不運の騎士,第二型カログレナント,,,FIRE,SUPERRARE,0,210,350,0,35,58,0,35,58,0,35,58,0,40,100,70,,,,,,,,,,,,,,,,,,,,,14400021,14400022,,1,1,10002012,0,10002012,1,L,104,5000,,,,,,,,,,,不幸だの不運だのではなく、単純に注<br>意力が散漫なのが原因で数々のトラブ<br>ルを起こす騎士。特に『断絶の時代』<br>の遺跡のトラップには真っ先に挑戦し<br>て真っ先に引っかかるため、ある意味<br>で他の騎士達が安全に調査できる環境<br>を整えていると言えなくもない。怪談<br>話にありがちな、最初の目撃者。怪異<br>に一番近い位置にいながら、解決する<br>側には回れない損な役回りを背負って<br>いる。,モタ,村上 裕哉,MALE,88,72,86,181,73,RIGHT,,,,,,,,,男性,C:88、W:72、H:86,181cm,73kg,右,,,,,,,,,男性,C:88、W:72、H:86,181cm,73kg,右,,,,,,,,,スイッチがあれば押したくなるだろう？<br>たとえ、それがトラップだとわかっていても、<br>私は好奇心を止められないのだ。,常に悪運に付きまとわれているが、<br>それでも良いなら助力しよう。,この身体があれば、さらなる苦難へ<br>身を投じる事ができる。,経験だけなら人一倍積んでいる。<br>生傷が絶えんからな。,悪運も極めれば、<br>立派な攻撃手段となるのだ。,トラップににかかっても死なない<br>強さを手に入れれば良いのだ。,危険な場所は私に任せてくれ。<br>全て踏み抜いてみせよう。,悪運は全て私が引き受ける！<br>そちらは本命を！,宝箱だ。たまの幸運は<br>大事に扱った方が良い。,強敵のようだ。これを乗り越えれば、<br>また強くなれるはずだ。,そなたは、私の悪運を補って余りある<br>幸運の持ち主のようだ。,私がトラップに飛び込むことで、<br>そなたの通る道が安全になるのなら、<br>私は喜んで危険に身を投じよう。,悪運をも味方につけてみせる！,一度や二度の不運がどうした！,私の運が悪いばかりに……！,601210010,601210020,601210030,601210010,601210050,601210030,601210020,601210090,601210090,601210100,,
10000169,10000169,10000169,騎士,第二型ガーロン,,,WIND,RARE,0,270,400,0,0,0,0,45,67,0,0,0,0,30,100,50,,,,,,,,,,,,,,,,,,,,,14400051,14400052,,1,1,10000169,0,10000169,1,M,103,1000,,,15000,10000170,20000012,20000012,20000012,20000007,,,『断絶の時代』のテクノロジーを用い<br>て自由自在に体を透明化させられる騎<br>士。さらに、使用者の血を使わなけれ<br>ば決して傷口を塞げないという特殊な<br>短剣と組み合わせる事で、奇襲攻撃に<br>おいて圧倒的な戦果をあげる。暴力的<br>というよりは相手の命を尊重する気持<br>ちが希薄であり、些細な理由から味方<br>の騎士とも突発的な戦闘を起こす事も。,モタ,水原 薫,FEMALE,82,55,78,155,52,RIGHT,,,,,,,,,女性,B:82、W:55、H:78,155cm,52kg,右,,,,,,,,,女性,B:82、W:55、H:78,155cm,52kg,右,,,,,,,,,卑怯、闇討ち、上等よ。<br>身につけた能力で敵を討って何が悪いの？,私の暗殺の技、<br>必要としてるんでしょ？,私の暗殺の技、<br>必要としてるんでしょ？,目に見えるほど、強くなったでしょ？<br>戦ってるところは見せないけど。,狩りの腕が上がっていくわね。,ある程度の相手なら、<br>音も無く狩れそうだわ。,たまに姿を消すかもしれないけど、<br>ちゃんと側にいるわよ。,誰を狩ればいい？,宝には興味ないわ。<br>拾いたければ、拾ったら？,強敵よ。<br>簡単に狩れそうにはないわね。,いい目をしてるわね。,あんたが命じるなら、<br>誰でも狩ってきてあげるわ。,後ろからグサッとね。,役立たずね……。,あんたがいなくても私は狩り続けるよ。,600690010,600690020,600690030,600690010,600690050,600690030,600690020,600690090,600690090,600690100,,
10000170,10000170,10000169,魔傷の騎士,第二型ガーロン,,,WIND,SUPERRARE,0,419,699,0,0,0,0,70,117,0,0,0,0,40,100,70,,,,,,,,,,,,,,,,,,,,,14400061,14400062,,1,1,10000170,0,10000170,1,L,104,5000,,,,,,,,,,,『断絶の時代』のテクノロジーを用い<br>て自由自在に体を透明化させられる騎<br>士。さらに、使用者の血を使わなけれ<br>ば決して傷口を塞げないという特殊な<br>短剣と組み合わせる事で、奇襲攻撃に<br>おいて圧倒的な戦果をあげる。暴力的<br>というよりは相手の命を尊重する気持<br>ちが希薄であり、些細な理由から味方<br>の騎士とも突発的な戦闘を起こす事も。,モタ,水原 薫,FEMALE,82,55,78,155,52,RIGHT,,,,,,,,,女性,B:82、W:55、H:78,155cm,52kg,右,,,,,,,,,女性,B:82、W:55、H:78,155cm,52kg,右,,,,,,,,,私は自由自在に姿が消せるの。<br>あんまり油断してると背後から刺しちゃうよ。<br>……なんてね。,私のこと、しっかり見てないと、<br>見失うわよ……。,腕がなるわね。<br>次は誰を殺して欲しいの？,刃が血を吸うほど<br>私は強くなるのよ……！,これでもっと上手く狩れるわ。,今ならベイリンの体にも<br>刃が届くかしら？,たくさん狩れるといいわね。,雇い主が死なないでよね。,宝箱ね。見張っててあげるから<br>中身を確認したら？,あれを狩るの？<br>腕がなるわね……！,あんたのために働くの<br>案外悪くないわね。,あんたと私は、<br>見えない絆で結ばれてるのかもね……。,どこを見てるの？　こっちよ！,これで戦えるでしょ？,このまま、ここで朽ち果てる？,600690010,600690020,600690030,600690010,600690050,600690030,600690020,600690090,600690090,600690100,,
10000214,10000214,10000214,妖精,シアナ,,,LIGHT,SUPERRARE,5,335,559,0,0,0,0,42,70,0,42,70,0,40,100,70,,,,,,,,,,,,,,,,,,,,,14300171,14300172,,1,0,10000214,0,10000214,1,L,104,5000,,,20000,10000215,20000023,20000023,20000018,20000018,20000013,20000013,『断絶の時代』において、民間伝承や<br>都市伝説などの収集を行っていた特殊<br>な妖精。現在も日々発生する噂の元を<br>追っているようだが、マニュアルが破<br>損してしまっているため、『噂を話す<br>人間を直接バラバラにして調べようと<br>する』行動を繰り返す。,午前4時,斎藤 千和,FEMALE,88,55,83,161,47,RIGHT,,,,,,,,,女性,B:88、W:55、H:83,161cm,47kg,右,,,,,,,,,女性,B:88、W:55、H:83,161cm,47kg,右,,,,,,,,,お噂のアーサーとはあなたです。<br>お話することが私にあります。<br>お教えください。お嫌ならバラして調べます。,お噂はかねがねです。<br>お話をお聞かせください。,お噂はかねがねです。<br>お話をお聞かせください。,お力添えをいただきました。<br>お仕事はお任せしてください。,ご指導ご鞭撻をたまわりました。<br>お気持ちだけで結構です。,お力を感じます。<br>お世話してください。,お達しで出発です。<br>お体にお気を付けてください。,お愛想でお手伝いします。<br>お礼はお菓子をください。,お察しなお宝です。<br>お情けでお持ち帰りです。,お話を聞いてきます。<br>お教えしないならそれまでです。,ご無礼をお許しください。<br>お助けします。お心から。,お話やお噂をおまとめしています。<br>お前は王様ですから、ご存じです。<br>お体をお調べしてもよろしいですか？,お遊びは以上です。,お加減はいかがですか。,お後がよろしいです。,600870010,600870020,600870030,600870010,600870050,600870030,600870020,600870090,600870090,600870100,,
10000215,10000215,10000214,信仰の妖精,シアナ,,,LIGHT,ULTRARARE,5,623,923,0,0,0,0,78,115,0,78,115,0,50,100,90,,,,,,,,,,,,,,,,,,,,,14300181,14300182,,1,1,10000215,0,10000215,1,L,105,15000,,,,,,,,,,,『断絶の時代』において、民間伝承や<br>都市伝説などの収集を行っていた特殊<br>な妖精。現在も日々発生する噂の元を<br>追っているようだが、マニュアルが破<br>損してしまっているため、『噂を話す<br>人間を直接バラバラにして調べようと<br>する』行動を繰り返す。,午前4時,斎藤 千和,FEMALE,88,55,83,161,47,RIGHT,,,,,,,,,女性,B:88、W:55、H:83,161cm,47kg,右,,,,,,,,,女性,B:88、W:55、H:83,161cm,47kg,右,,,,,,,,,お宝を集めています。お守りしています。<br>おところを知っているなら、お話ください。<br>お話いただけないなら、お体にお聞きします。,ご丁寧にありがとうございます。<br>お名前とお話をお聞きします。,ご面倒をお掛けしました。<br>お前にはお礼します。,ご大層なお力です。<br>ご多忙の中、お世話様です。,お手数、ご苦労さまです。<br>お偉い方でお見事です。,お見事なお手前です。<br>ご謙遜してください。,おでかけのご用です。<br>お噂とお宝をお探しします。,お手数をお受けします。<br>お心ばかりですが、どうぞ。,ご大層な贈り物です。<br>お取り扱いにご注意ください。,お強いようですがご容赦ください。<br>お話しないのが悪いのです。,ご贔屓いただき恐縮です。<br>お好きなようにお使いください。,お手元に、宴のお料理をご用意しました。<br>お開きになる前にお召し上がりください。<br>お太りになった頃が頃合いです。,ご臨終です。お祈りはお済みですか。,お体をご自愛ください。,おいたわしいお姿です。,600870010,600870020,600870030,600870010,600870050,600870030,600870020,600870090,600870090,600870100,,
10000166,10000166,10000166,騎士,第二型テルラムント,,,LIGHT,HIGHNORMAL,0,104,173,0,0,0,0,13,22,0,13,22,0,20,100,30,,,,,,,,,,,,,,,,,,,,,14200051,14200052,,1,0,10000166,0,10000166,1,S,102,500,,,10000,10000167,20000008,20000008,,,,,優れた槍の腕を持つものの、いっそ<br>清々しいほど私欲のためにしか腕を振<br>るわない悪徳の騎士。王を相手に契約<br>料を迫ったり、時には知り合いの魔法<br>使いの手を借りて偽造した権利書など<br>を使って貴婦人から土地を奪おうとす<br>る事も。徹底した悪だが、性質は単純<br>で読みやすいため、上手に刺激する事<br>で正義のための戦いへ誘い込むのも容<br>易い。なお、大金を求める理由は自分<br>だけの領土を得るためらしい。,nikuball,斎藤 千和,FEMALE,80,57,83,161,55,RIGHT,,,,,,,,,女性,B:80、W:57、H:83,161cm,55kg,右,,,,,,,,,女性,B:80、W:57、H:83,161cm,55kg,右,,,,,,,,,…なんだ？　金の話以外であんたと話すこと<br>なんてないんだが…。私達は仕事上の関係<br>ってやつだ。不必要に仲良くなることはない。,金さえくれるなら、あんたは正義だ。<br>私にとってはね。,金さえくれるなら、あんたは正義だ。<br>私にとってはね。,金さえくれるなら、いくらでも<br>強くなってやるよ。,ここぞって時のために、<br>腕は磨いておかなくちゃな。,この力も大事な商売道具だ。<br>しっかり価値を高めておいたぞ？,はいはい、行きますよっと。<br>ただし無駄足にはさせるなよ？,ほら、ありがたく受け取りな。<br>…礼はいいから金をくれ。,やっぱり宝箱だ。私が見つけたんだし<br>報酬は宝の７割でいいぞ。,強そうだな…こっちも傷を負う<br>覚悟がいりそうだ。,金払いのいいやつは<br>みんな愛してるぞ。これ、ホントな。,私が金を稼ぐ理由か？　それはヒミツだ。<br>あんたのことがもっと信用できたら、<br>その時はちゃんと教えてやるよ。,私の夢のいしずえになってくれよ。,金次第では戦闘も援護もやってやる。,しっかりしろよ、儲けのチャンスだぞ！,600680010,600680020,600680030,600680010,600680050,600680030,600680020,600680080,600680080,600680100,,
10000167,10000167,10000166,領主騎士,第二型テルラムント,,,LIGHT,RARE,0,216,320,0,0,0,0,27,40,0,27,40,0,30,100,50,,,,,,,,,,,,,,,,,,,,,14200061,14200062,,1,1,10000167,0,10000167,1,M,103,1000,,,15000,10000168,20000013,20000013,20000013,20000008,,,優れた槍の腕を持つものの、いっそ<br>清々しいほど私欲のためにしか腕を振<br>るわない悪徳の騎士。王を相手に契約<br>料を迫ったり、時には知り合いの魔法<br>使いの手を借りて偽造した権利書など<br>を使って貴婦人から土地を奪おうとす<br>る事も。徹底した悪だが、性質は単純<br>で読みやすいため、上手に刺激する事<br>で正義のための戦いへ誘い込むのも容<br>易い。なお、大金を求める理由は自分<br>だけの領土を得るためらしい。,nikuball,斎藤 千和,FEMALE,80,57,83,161,55,RIGHT,,,,,,,,,女性,B:80、W:57、H:83,161cm,55kg,右,,,,,,,,,女性,B:80、W:57、H:83,161cm,55kg,右,,,,,,,,,おいっ！　街にある高級レストランには入った<br>ことあるか？　あそこは値が張るだけあって<br>うまいぞ。どんな味かはまったく覚えてないが。,槍一本でどれだけ稼げるか、<br>試してみるのも悪くないな…。,はいよ。契約更新っと…安心しろ。<br>報酬以上の働きはしてやるさ。,金稼ぎにも必要な能力だからな。<br>できるだけ力をつけておきたい。,技の練度を上げとけば、楽して<br>勝てるもんな。大事なことだぞ？,この槍であんたの敵は全員<br>なぎ払ってやる。報酬ははずめよ？,用心して歩けよ。あんたに死なれたら<br>誰が私に金を払うんだ？,料金を倍払ってくれれば、<br>もっとすごい支援もしてやるぞ。,宝箱ゲットだ！　<br>早く中を確認するぞ、アーサー！,強敵だが、あいつを退けない限り、<br>前へは進めないってか…。,金の切れ目が縁の切れ目と言うだろ？<br>あれ、マジだから気をつけろよ。,私はいつか、自分の領土を手に入れるんだ。<br>そのためなら莫大な金も積むし、戦争でも功を<br>上げてみせる。…これが私の金稼ぎの理由だ。,超金持ちなら、生かしてやったのに。,しょうがないな…ほらっ！,負けたままじゃ大損だぞ…？,600680010,600680020,600680030,600680010,600680050,600680030,600680020,600680080,600680080,600680100,,
10000168,10000168,10000166,怜悧なる領主,第二型テルラムント,,,LIGHT,SUPERRARE,0,335,559,0,0,0,0,42,70,0,42,70,0,40,100,70,,,,,,,,,,,,,,,,,,,,,14200071,14200072,,1,1,10000168,0,10000168,1,L,104,5000,,,,,,,,,,,優れた槍の腕を持つものの、いっそ<br>清々しいほど私欲のためにしか腕を振<br>るわない悪徳の騎士。王を相手に契約<br>料を迫ったり、時には知り合いの魔法<br>使いの手を借りて偽造した権利書など<br>を使って貴婦人から土地を奪おうとす<br>る事も。徹底した悪だが、性質は単純<br>で読みやすいため、上手に刺激する事<br>で正義のための戦いへ誘い込むのも容<br>易い。なお、大金を求める理由は自分<br>だけの領土を得るためらしい。,nikuball,斎藤 千和,FEMALE,80,57,83,161,55,RIGHT,,,,,,,,,女性,B:80、W:57、H:83,161cm,55kg,右,,,,,,,,,女性,B:80、W:57、H:83,161cm,55kg,右,,,,,,,,,城で暮らしてるくらいだから、もっと高級な<br>料理でも食べれるものだと思ったのだがな…。<br>まぁ、ひとりで食うよりはマシか。,あんたのやることに興味はないけど、<br>付き合ってやる…仕事だしな。,あんたが正義だろうと悪だろうと、<br>私は黙ってついて行くだけだ。,あれ…？　アーサーから力づくで金を<br>奪えるくらいは強くなったんじゃ…。,日々の積み重ねが、<br>億万長者になる秘訣っぽいな♪,金とあんたと、私の力があれば<br>敵なしだな。いっそ私と国を作るか？,地道に足を使うのも、<br>金稼ぎには大事なことかもな。,一般の依頼主にはやらない<br>裏メニューだ。サービスしてやるよ。,いいもんを拾ったな。今回は特別に<br>あんたに全部やる。感謝しろよ。,あんな大物を相手にするなんて正気？<br>…あんたが行くなら、仕方ない。,あんたの命令なら、なんだって<br>するぞ。報酬額にかかわらずな。,なぁ…もし私が大きな領土を手に入れたら、<br>あんたもそこで住まないか？　その…管理も<br>ひとりじゃ大変だから、助かるんだが…。,風穴をぶち開けてやるっ！,死んだら誰が金払うんだ？,このままでいいのかよ、アーサー！？,600680010,600680020,600680030,600680010,600680050,600680030,600680020,600680080,600680080,600680100,,
10000038,10000038,10000038,騎士,支援型ブランクウェイン,,,ICE,HIGHNORMAL,0,130,216,0,0,0,0,22,36,0,0,0,0,20,100,30,,,,,,,,,,,,,,,,,,,,,14200011,14200012,,1,0,10000038,0,10000038,1,S,102,500,,,10000,10000039,20000011,20000006,20000006,,,,『愛の秘薬』と呼ばれる追加プログラ<br>ムの管理者だったが、手違いによりト<br>リストラムと金髪のイゾルデに飲まれ<br>てしまう。以降はトラブル続きの二人<br>のサポート役を買って出るように。他<br>人の短所を補ってばかりなので気づか<br>れにくいが、個としての技量はかなり<br>高い。元々、人の上に立つつもりはな<br>いらしく、メイドの立場に満足してい<br>るらしい。,茶みらい,佐倉 綾音,FEMALE,81,55,79,151,47,RIGHT,,,,,,,,,女性,B:81、W:55、H:79,151cm,47kg,右,,,,,,,,,女性,B:81、W:55、H:79,151cm,47kg,右,,,,,,,,,お薬なら任せてください、と言いたい所ですが、<br>最近は郵便配達ばかりしてる気がします。<br>あれ、どっちもメイドの仕事じゃないような…。,こんにちは、ブランクウェインです。<br>名前、覚えてくれました？,こんにちは、ブランクウェインです。<br>名前、覚えてくれました？,うーん…、騎士よりメイドの方が<br>しっくりくるんですが…。,なるほど、こういう調合も<br>アリかもしれませんねー。,これで足手まといにならずに済む…、<br>かな？,わ、私も探索に出掛けるんですか？<br>ちゃんとできるかなぁ…。,あわわわ…！　お、お手伝いします！<br>えーいっ！,宝箱がありましたー。<br>何かに使えるかもしれませんよ？,て、敵ですっ！<br>えっと、無敵になる薬は…！,えへ、主様が喜んでくださるのなら<br>もう少しだけ…。,あの、いいお仕事があるんです。お薬を飲んで<br>寝ているだけでいいんですけど、どうですか？<br>だ、大丈夫です！　安全ですから！　…たぶん。,薬は私の方が詳しいんです！,少しでも元気になってください！,あわわ…、私のせいですか…？,600110010,600110020,600110030,600110010,600110050,600110030,600110020,600110080,600110080,600110100,,
10000039,10000039,10000038,奉仕の騎士,支援型ブランクウェイン,,,ICE,RARE,0,270,400,0,0,0,0,45,67,0,0,0,0,30,100,50,,,,,,,,,,,,,,,,,,,,,14200021,14200022,,1,1,10000039,0,10000039,1,M,103,1000,,,15000,10000040,20000016,20000011,20000011,20000011,20000006,,『愛の秘薬』と呼ばれる追加プログラ<br>ムの管理者だったが、手違いによりト<br>リストラムと金髪のイゾルデに飲まれ<br>てしまう。以降はトラブル続きの二人<br>のサポート役を買って出るように。他<br>人の短所を補ってばかりなので気づか<br>れにくいが、個としての技量はかなり<br>高い。元々、人の上に立つつもりはな<br>いらしく、メイドの立場に満足してい<br>るらしい。,茶みらい,佐倉 綾音,FEMALE,81,55,79,151,47,RIGHT,,,,,,,,,女性,B:81、W:55、H:79,151cm,47kg,右,,,,,,,,,女性,B:81、W:55、H:79,151cm,47kg,右,,,,,,,,,イゾルデ様のお手紙は、私が責任を持って<br>トリストラム様に配達しているんですよ。<br>ええ、それはもう一日に何十通と…。,ご要望があれば、どんなお薬でも！<br>アレ？　アレはちょっと…。,強くなるお薬が効いたみたいですね。<br>これ、売りだそうかな…。,あわわ…、私がこんなに強くなって<br>いいんでしょうか？,一つ、賢くなりました。<br>継続は力なり、ですねー。,えっと、強くなったみたいです。<br>これからも頑張りますね！,ちょ、ちょっと待ってください！<br>まだ心の準備がぁ～っ！,こ、これでいいのでしょうか…？<br>力不足ならごめんなさいー！,レアなお薬の材料でもあれば、<br>いいんですけどね。,あわわ…。どうしましょう？<br>ここは少し、様子を見て…。,非力かもしれませんけど、誰かの<br>ために尽くすことができれば…。,これだけ愛のこもったお手紙を届けていると、<br>イゾルデ様が少しうらやましくなっちゃいます。<br>いえ、あの方が好きなわけではないですけど…。,あなたたちの好きにはさせません！,効くまで持ちこたえてくださいっ！,つ、次はぜったい失敗しませんから…。,600110010,600110020,600110030,600110010,600110050,600110030,600110020,600110080,600110080,600110100,,
