#機能タイプ,PvP倍率,機能効果アップの適用,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8,パラメータ9,パラメータ10,
#攻撃,,,,,,,,,,,,,
DEBUFF_RELEASE_ONE_NUM,100,,VALUE,VALUE,SKILL_ROLE_KIND_DEBUFF,SKILL_ROLE_KIND_DEBUFF,VALUE,,,,,,
DEBUFF_RELEASE_RANDOM,100,,VALUE,VALUE,VALUE,,,,,,,,
DEBUFF_RELEASE_OLD,100,,VALUE,VALUE,VALUE,,,,,,,,
ATTR_RATE_DOWN_INVALID,100,,VALUE,,,,,,,,,,
PARAM_UP_BUFF_CONVERT,100,,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,,,,,,
#防御,,,,,,,,,,,,,
DAMAGE_CUT,50,,VALUE,VALUE,VALUE,ATTR,SKILL_PHYSICS_TYPE,,,,,,
DEF_UP_BY_SELF_PARAM,100,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,,,,,
DEF_UP_BY_TARGET_PARAM,100,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,,,,,
DEF_UP_FIXED,100,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,,
DEF_UP_FIXED_ATTR_BONUS,100,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,ATTR,VALUE,,,
DEF_UP_BY_NOW_TURN_DAMAGE,25,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,,,,,,,
CARD_SEAL_REGIST,100,,VALUE,VALUE,VALUE,,,,,,,,
ATTACK_BARRIER,100,,VALUE,VALUE,VALUE,VALUE,SKILL_PHYSICS_TYPE,,,,,,
COVERING,50,,VALUE,VALUE,VALUE,ATTR,SKILL_PHYSICS_TYPE,,,,,,
#妨害,,,,,,,,,,,,,
HP_CUT,100,,VALUE,VALUE,,,,,,,,,
BUFF_RELEASE,100,,VALUE,VALUE,,,,,,,,,
BUFF_RELEASE_ONE,100,,VALUE,VALUE,SKILL_ROLE_KIND_BUFF,SKILL_ROLE_KIND_BUFF,,,,,,,
BUFF_RELEASE_ONE_NUM,100,,VALUE,VALUE,SKILL_ROLE_KIND_BUFF,SKILL_ROLE_KIND_BUFF,VALUE,,,,,,
BUFF_RELEASE_RANDOM,100,,VALUE,VALUE,VALUE,,,,,,,,
BUFF_RELEASE_OLD,100,,VALUE,VALUE,VALUE,,,,,,,,
ATK_BREAK_BY_SELF_PARAM,100,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,,,,,
ATK_BREAK_FIXED,100,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,,
ATK_BREAK_BY_NOW_TURN_DAMAGE,50,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,,,,,,,
GUARD_BREAK_BY_SELF_PARAM,65,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,,,,,
GUARD_BREAK_BY_TARGET_PARAM,65,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,,,,,
GUARD_BREAK_FIXED,65,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,,
GUARD_BREAK_BY_NOW_TURN_DAMAGE,65,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,,,,,,,
DAMAGE_DOWN,100,,VALUE,VALUE,VALUE,ATTR,SKILL_PHYSICS_TYPE,,,,,,
UNDERMINE,0,,VALUE,VALUE,VALUE,ATTR,SKILL_PHYSICS_TYPE,,,,,,
STAN,0,,VALUE,VALUE,VALUE,VALUE,VALUE,,,,,,
SILENCE,0,,VALUE,VALUE,VALUE,,,,,,,,
CHARM,0,,VALUE,VALUE,VALUE,,,,,,,,
POISON,35,1,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,
BURN,35,1,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,
FREEZE,35,1,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,
BLEED,35,1,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,
STEAL,35,,VALUE,VALUE,VALUE,VALUE,VALUE,,,,,,
CARD_SEAL,0,,VALUE,VALUE,VALUE,VALUE,SKILL_KIND_BIT,ATTR_BIT,VALUE,VALUE,VALUE,,
WEAKNESS,100,,VALUE,VALUE,VALUE,,,,,,,,
HEAL_REVERSE,0,,VALUE,VALUE,VALUE,,,,,,,,
#特殊,,,,,,,,,,,,,
REWRITE,100,,VALUE,ATTR,,,,,,,,,
DEAL_BONUS,100,,VALUE,,,,,,,,,,
NONE,100,,,,,,,,,,,,
OUTPUT_TEXT,100,,,,,,,,,,,,
DESTRUCT,100,,VALUE,VALUE,VALUE,,,,,,,,
ATTR_HIDE,100,,VALUE,,,,,,,,,,
ATTR_SEE,100,,VALUE,,,,,,,,,,
REVIVE,100,,VALUE,VALUE,VALUE,,,,,,,,
ENEMY_AI_TRIGGER_FLAG_SET,100,,VALUE,VALUE,,,,,,,,,
ROLE_OP_COMBO,100,,VALUE,VALUE,VALUE,SKILL_KIND,ATTR,VALUE,,,,,
DOT_VALUE_UP,35,,VALUE,VALUE,VALUE,VALUE,VALUE,DOT,,,,,
#特殊(フィールドギミック),,,,,,,,,,,,,
FIELD_ATTR_UP,100,,VALUE,VALUE,,,,,,,,,
FIELD_ATTR_DOWN,100,,VALUE,VALUE,,,,,,,,,
FIELD_SKILL_UP,100,,VALUE,VALUE,,,,,,,,,
FIELD_HEAL_UP,100,,VALUE,VALUE,,,,,,,,,
FIELD_HEAL_DOWN,100,,VALUE,VALUE,,,,,,,,,
FIELD_JAMMING_UP,100,,VALUE,VALUE,,,,,,,,,
FIELD_SUPPORT_DEFENCE_UP,100,,VALUE,VALUE,,,,,,,,,
#追加,,,,,,,,,,,,,
CRITICAL_UP,100,,VALUE,VALUE,VALUE,,,,,,,,
DEAL_PENALTY,100,,VALUE,,,,,,,,,,
ELECTRIC,35,,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,
DARKNESS_RANDOM,0,,VALUE,VALUE,VALUE,,,,,,,,
DARKNESS_APPOINT,0,,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,,,,,
DARKNESS_REGIST,100,,VALUE,VALUE,VALUE,,,,,,,,
CARD_TRAP_DAMAGE,35,,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,
CARD_TRAP_DOT,35,,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,
COST_BLOCK,100,,VALUE,VALUE,,,,,,,,,
DEAL_PENALTY_TURN_APPOINT,100,,VALUE,VALUE,,,,,,,,,
