#ID,基カードID,同カードID,冠名,メイン名,スタックか？,レアリティ,コスト,パラメータ,,,,,,,,,,,,レベル最大,ホロレベル最大,マスターホロ,忠誠度最大,名声最大,名声ボーナス係数,通常スキルID,アーサーボーナススキルID,ジョブボーナススキルID,スキルLv上限,スキルｶｯﾄｲﾝID,PictID,,,,拡大画像,ホロタイプ,経験値ID,売却値段,合成素材フラグ,売却素材フラグ,フレーバーテキスト,イラストレーター,声優,プロフィール（データ）,,,,,,,,,,,,,,,見た目（通常）,,,,,,,,,,,,,見た目（親密度MAX）,,,,,,,,,,,,,騎士セリフ,,,,,,,,,,,,,,,ボイスID,,,,,,,,,,ダウンロード中表示,
#,,,,,,,,HP,成長限界HP,忠誠度MAXボーナス,ATK,成長限界ATK,忠誠度MAXボーナス,INT,成長限界INT,忠誠度MAXボーナス,MND,成長限界MND,忠誠度MAXボーナス,,,,,,,,,,,,通常,種別,MAX,種別,サイズ,,LVUP,,,,,,,性別,3S/B,3S/W,3S/H,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,ダウンロード中,ガチャと新規入手,進化合成,騎士LvUP,スキルLvUP,騎士LvMAX,探索出発,探索アーサー支援,探索宝箱,探索強敵,忠誠度UP,忠誠度MAX,スキル発動（攻妨特）,スキル発動（回支防）,コンティニュー,挨拶,騎士LvUP,探索出発,未：探索アーサー支援[代：挨拶],探索宝箱,未：探索強敵[代：探索出発],未：忠誠度UP[代：騎士LvUP],スキル発動（物魔妨特）,スキル発動（回支防）,コンティニュー,,
#レアリティ参照用ダミー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000109,10000109,10000109,騎士,特異型アキレウス,,RARE,0,270,400,0,45,67,0,0,0,0,0,0,0,30,35,,100,50,500,11100281,11100282,,1,1,10000109,0,10000109,1,L,10,103,1000,,,軍勢ではなく、単体での戦闘力を極端<br>に増幅させる事で戦線を引っ掻き回す<br>騎士。一説では踵の一点を除きほぼ無<br>敵とまで言われているが……？<br>実は沈没船の中から発見された英傑の<br>遺骨を基にした複製。<br>オリジナルはほぼ不死身に近い絶大な<br>戦闘力を持っていた。……また、鋼の<br>肉体を持ちながらも、『女装して敵地<br>に忍び込むのを得意としていた』とい<br>う情報もあるのだが……？,午前4時,福山 潤,MALE,90,78,88,201,84,RIGHT,,,,,,,,,男性,C:90、W:78、H:88,201cm,84kg,右,,,,,,,,,男性,C:90、W:78、H:88,201cm,84kg,右,,,,,,,,,アーサーよ、これがお前の命を預かる鋼の盾だ。<br>しかし、守ってもらうばかりではいかん。<br>王とは、鋼の肉体を持って然るべきなのだ！,どうだこの見事な肉体美。<br>お前もこんな風になりたいだろう！,どうだこの見事な肉体美。<br>お前もこんな風になりたいだろう！,鍛錬は一日にしてならず。<br>筋肉も一日にしてならずだ。,頭の中まで筋肉でよいのだ。頭脳が<br>筋肉なら力強い思考ができるからな。,これで人々の視線は私に釘付けだ。<br>さあ、どこからでもかかってこい！,そうだ、体に重りを付ければ探索も<br>鍛錬になると思うのだが。どうだ？,ハッハッハ！　この肉体がある限り<br>アーサーには切っ先一つ通さんぞ！,そのような汚い箱を拾ったところで、<br>たんなる重りにしかならないぞ？,強敵だが、正面から行かせてくれ。<br>私の力を試したい。,そのだな…。あまり見ないでくれ…。<br>どうにもむずがゆいものがあるんだ。,筋力のないお前が、こうも頼もしく見えるとは。<br>アーサーに問う。真に強き者には何が必要だ？<br>その力強き意志の支えとなる何かを教えてくれ。,そうか、痛いのが好きか！,私に掴まれ！　振り落とされるなよ！,行くぞ！　一からやり直しだ！,602980010,602980020,602980030,602980010,602980050,602980030,602980020,602980080,602980080,602980100,,
10000110,10000110,10000109,豪腕の勇士,特異型アキレウス,,SUPERRARE,0,419,699,0,70,117,0,0,0,0,0,0,0,40,45,,100,70,500,11100291,11100292,,1,1,10000110,0,10000110,1,L,10,104,5000,,,軍勢ではなく、単体での戦闘力を極端<br>に増幅させる事で戦線を引っ掻き回す<br>騎士。一説では踵の一点を除きほぼ無<br>敵とまで言われているが……？<br>実は沈没船の中から発見された英傑の<br>遺骨を基にした複製。<br>オリジナルはほぼ不死身に近い絶大な<br>戦闘力を持っていた。……また、鋼の<br>肉体を持ちながらも、『女装して敵地<br>に忍び込むのを得意としていた』とい<br>う情報もあるのだが……？,午前4時,福山 潤,MALE,90,78,88,201,84,RIGHT,,,,,,,,,男性,C:90、W:78、H:88,201cm,84kg,右,,,,,,,,,男性,C:90、W:78、H:88,201cm,84kg,右,,,,,,,,,私は気づいたのだ。男の真価は、筋力ではない。<br>剣術に加え、権謀術策に長けていること。<br>しかし、これだけではまだ足りんのだ…。,肉体など所詮は飾りだ。<br>見たければ好きなだけ見るがいい。,私はまだまだ甘かったということか。<br>悔しいが、これからの原動力になる。,上腕二頭筋が私に訴えてくるんだ。<br>もっと俺を鍛えてくれ、とね。,鍛錬に限界などない。最後に笑うのは<br>一日一日を大切に積み上げた者だ。,これが私の求めていた理想像か。<br>いざ辿り着くと実にあっけない…。,行くぞ、アーサー。男として歩むべき<br>正しき道を見せてやるぞ。,敵はいつでもお前を狙っている。<br>私が居るからと言って油断するな。,動かない敵なら簡単だ。<br>さぁて、中身を見せて貰うぞ！,アーサーよ、私を盾にしろ。<br>ここは私が引きつける！,ふむ、お前もよい体になってきたな。<br>だが、現状に満足してはならないぞ。,お前と共に戦うことで、その力の支えを知った。<br>野心に振り回され、目的を疎かにしていた私とは<br>違うのだな。アーサー、お前は強い王だよ。,刃が立たないとはこういう事だ！,私が盾になってやる！,まだまだ！　もう一本！,602980010,602980020,602980030,602980010,602980050,602980030,602980020,602980080,602980080,602980100,,
10000042,10000042,10000042,騎士,第二型アグラヴェイン,,HIGHNORMAL,0,104,173,0,13,22,0,0,0,0,13,22,0,20,25,,100,30,500,11100181,11100182,,1,0,10000042,0,10000042,1,S,10,102,500,,,情報収集、弱点発見、後方攪乱など、<br>高度な情報戦を専門に取り扱う騎士。<br>仮想敵にランスロットを設定しており、<br>目的達成のためなら数日間一ヵ所に潜<br>み続けるなど、凄まじい執念と集中力<br>を発揮する。情報戦の一環として敵味<br>方問わず常にスキャンダルの材料を探<br>している節があり、周りからするとは<br>た迷惑極まりないとの評価も。,ゆーぽん(Nitroplus),矢作 紗友里,FEMALE,85,59,80,158,53,RIGHT,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,あなたはどんな情報が欲しいかしら？<br>女性陣のスリーサイズから男性陣の弱みまで<br>バッチリ取りそろえていますわよ♪,わたくしの得意分野は偵察…。<br>どんな弱みも握ってみせますわ。,わたくしの得意分野は偵察…。<br>どんな弱みも握ってみせますわ。,ほんのわずかな変化ですが、<br>確かに強くなれた気がしますわ。,ふふっ…観察眼も<br>より鋭くなりましたわよ。,か弱い乙女にしては<br>充分強くなれたと思いますわ♪,何か新しい発見があると<br>いいですわね。むふふ…♪,あなたは無駄な体力を<br>使わないでくださいませ。,お宝発見ですわ！<br>早く開きましょう♪,わたくしにはわかります…！<br>あれは強くて怖い敵！,私の王としてふさわしいか、<br>もっと観察してみたいですわ。,あなたの知りたい情報は、<br>すべてわたくしが手に入れてきます。<br>だから、どうぞご命令を…！,弱点を執拗なまでに攻めますわ！,解析完了…戦場は掌握しましたわ。,まさか、あきらめたりしませんわよね？,600120010,600120020,600120030,600120010,600120050,600120030,600120020,600120080,600120080,600120100,,
10000043,10000043,10000042,堅手の騎士,第二型アグラヴェイン,,RARE,0,216,320,0,27,40,0,0,0,0,27,40,0,30,35,,100,50,500,11100191,11100192,,1,1,10000043,0,10000043,1,S,10,103,1000,,,情報収集、弱点発見、後方攪乱など、<br>高度な情報戦を専門に取り扱う騎士。<br>仮想敵にランスロットを設定しており、<br>目的達成のためなら数日間一ヵ所に潜<br>み続けるなど、凄まじい執念と集中力<br>を発揮する。情報戦の一環として敵味<br>方問わず常にスキャンダルの材料を探<br>している節があり、周りからするとは<br>た迷惑極まりないとの評価も。,ゆーぽん(Nitroplus),矢作 紗友里,FEMALE,85,59,80,158,53,RIGHT,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,て、偵察任務で１週間ほど飲まず食わずで<br>じっとしていました…。お願いですから、<br>ふかふかのベッドと、何か食べものを…！,情報戦は戦いの基本。<br>わたくしにお任せください。,情報収集に磨きをかけました。<br>今のわたくしは頼りになりますわよ♪,なんとか戦闘でも動けるように<br>なってきましたわね。,技術は日々進歩するものです。<br>わたくしも邁進していきますわ。,ふふっ…これがわたくしの<br>限界だとは思いませんけどね。,ピクニック気分で気を抜かないよう、<br>わたくしが見張っていますわ。,こういう仕事のほうがわたくしには<br>合っていますわ。戦うよりずっとマシ！,何が入っているんでしょう…！<br>ワクワクしますわね。,できれば、わたくしは後ろのほうで<br>こっそり隠れてたいのですが…ダメ？,最近はあなたのことばかり<br>考えてしまいますわ…。,えっ？　…わたくしのカメラを見たい？<br>そ、それはお断りしますわ…。<br>だって、あなたのことばかり撮っているもの。,ふふふ…心も砕いてやりますわ～！,わたくしがスキを作りますっ！,戦うのは嫌いですが負けるのはもっと嫌い！,600120010,600120020,600120030,600120010,600120050,600120030,600120020,600120080,600120080,600120100,,
10000044,10000044,10000042,諜謀の堅手,第二型アグラヴェイン,,SUPERRARE,0,335,559,0,42,70,0,0,0,0,42,70,0,40,45,,100,70,500,11100201,11100202,,1,1,10000044,0,10000044,1,L,10,104,5000,,,情報収集、弱点発見、後方攪乱など、<br>高度な情報戦を専門に取り扱う騎士。<br>仮想敵にランスロットを設定しており、<br>目的達成のためなら数日間一ヵ所に潜<br>み続けるなど、凄まじい執念と集中力<br>を発揮する。情報戦の一環として敵味<br>方問わず常にスキャンダルの材料を探<br>している節があり、周りからするとは<br>た迷惑極まりないとの評価も。,ゆーぽん(Nitroplus),矢作 紗友里,FEMALE,85,59,80,158,53,RIGHT,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,あなたに関しては情報が少ないんですよね…。<br>いい機会ですから、いろいろ教えて<br>くださいません？　あなたが気になるんです。,わたくしの得た情報は貴重なもの<br>ばかり…その分、値が張りますけどね。,このわたくしがいるのですから、<br>情報戦は安心ですね。,戦闘は怖いけど、今なら<br>やれる気がしますわ！,勝敗は単純な戦闘力だけでは<br>決まりませんわ。そうでしょう？,わたくしがこんなに強くなれる<br>なんて、知りませんでしたわ。,あなたをひとりにするのは<br>心配ですもの。,アーサーは敵との遭遇に<br>備えて剣でも握っていなさい。,敵に奪われる前に回収しましょう！<br>わたくしが行ってきますわ。,大物ですわね。…情報収集だけ<br>して逃げたいですわ。,もっと、あなたのことが知りたい…<br>ダメ、ですか？,あなたからの言葉なら、どんなことでも<br>信じて差し上げますわ。<br>たとえそれが偽りの言葉だとしても。,あなたの弱点、丸見えですわよ？,前線はアーサーたちに任せましたわ。,このままじゃ悔しくて眠れません！,600120010,600120020,600120030,600120010,600120050,600120030,600120020,600120080,600120080,600120100,,
10000045,10000045,10000042,陽炎の謀略家,第二型アグラヴェイン,,ULTRARARE,0,623,923,0,78,115,0,0,0,0,78,115,0,50,55,,100,90,500,11100211,11100212,,1,1,10000045,0,10000045,1,L,10,105,15000,,,情報収集、弱点発見、後方攪乱など、<br>高度な情報戦を専門に取り扱う騎士。<br>仮想敵にランスロットを設定しており、<br>目的達成のためなら数日間一ヵ所に潜<br>み続けるなど、凄まじい執念と集中力<br>を発揮する。情報戦の一環として敵味<br>方問わず常にスキャンダルの材料を探<br>している節があり、周りからするとは<br>た迷惑極まりないとの評価も。,ゆーぽん(Nitroplus),矢作 紗友里,FEMALE,85,59,80,158,53,RIGHT,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,女性,B:85、W:59、H:80,158cm,53kg,右,,,,,,,,,もうすこしお待ち下さいませ…って、そんなに<br>ジッと見られると困ります！　あなたを見るのは<br>わたくしの専売特許なんですからねっ！,あなたのことも、じ～っくりと<br>観察させてくださいませ♪,あなたのために強くなりました！<br>必ず活躍してみせますわ。,あなたが求めてくれれば、<br>わたくしはもっと強くなれます。,剣の腕も、偵察の腕も、努力次第で<br>どこまでも伸びますわ。,今のわたくしなら、きっとあなたを<br>守ることだって…！,迷子になっても、わたくしが<br>必ず見つけ出してあげますからね。,あなたにはわたくしが付いている<br>ということを忘れないでください。,わたくしが見つけた宝箱ですわよ。<br>感謝して受け取ってくださいませ。,た、戦うならあなたも一緒ですわよ！<br>ひとりで行かせないでね？,あなたを見ていると、頬が<br>熱くなります。なぜでしょう？,あなたの配下になれたことは、幸せです。<br>これからは、わたくしの力も、命も…<br>すべてあなたの物として扱ってくださいませ。,敵を知れば百戦楽勝ですわっ！,力を合わせましょう、アーサー！,あなたが勝つところを見せてくださいっ！,600120010,600120020,600120030,600120010,600120050,600120030,600120020,600120080,600120080,600120100,,
10000099,10000099,10000099,騎士,支援型アストラトエレイン,,SUPERRARE,5,419,699,0,70,117,0,0,0,0,0,0,0,40,45,,100,70,500,11100421,11100422,,1,1,10000099,0,10000099,1,S,10,104,5000,,,ランスロットのサポート用として開発<br>されたものの、当のランスロットがサ<br>ポートを必要としないほど強かったた<br>め、行き場を失った騎士。今では単体<br>で『外敵』との戦いに身を投じている。<br>文学や演劇に詳しく、悲恋を好むため<br>か、『もしも私がフラれた時は、自分<br>の死体を小舟に乗せて相手の男に送り<br>付けたい』とか困った事を考えている。,竹岡美穂,上坂 すみれ,FEMALE,81,55,79,147,39,RIGHT,,,,,,,,,女性,B:81、W:55、H:79,147cm,39kg,右,,,,,,,,,女性,B:81、W:55、H:79,147cm,39kg,右,,,,,,,,,う～ん…。あ、さっきの授業聞いてました？<br>私、初等騎士論の、王の騎士となるためにって<br>ところ分かんないんです。教えてくれますか？,わー、新しい生徒さんですか！？<br>訓練がんばりましょう！　ね！,わー、新しい生徒さんですか！？<br>訓練がんばりましょう！　ね！,ふう、いい感じです。これで試験の<br>結果もよくなりますかね。,よく分からないですけど、<br>うまくできたからオッケーです！,一気に成長はできないんですね。<br>ひとつひとつ堅実に、着実に、です！,探索…？　それって遠足みたいな<br>ものですよね？　わーい！,もうちょっとですよアーサー！<br>私がお手伝いしますっ！,うーん、どうしてこんなものが<br>落ちてるんでしょう…。謎ですね。,あ、アーサー？　あの敵はちょっと<br>早すぎるような気がー…？,アーサー、私がんばりました！<br>…撫でてくれでもいいんですよ？,まだまだだって怒られるとやっぱりヘコんじゃい<br>ますけど、その分燃えてくるんです。<br>いつか絶対、みんなを驚かせてあげますから！,やっちゃいますよー！　えーいっ！,これで元気だしてください！,うぅ…ヘコむ…。けどっ！,600290010,600290020,600290030,600290010,600290050,600290030,600290020,600290080,600290080,600290100,,
10000100,10000100,10000099,恋の騎士,支援型アストラトエレイン,,ULTRARARE,5,779,1154,0,130,192,0,0,0,0,0,0,0,50,55,,100,90,500,11100431,11100432,,1,1,10000100,0,10000100,1,M,10,105,15000,,,ランスロットのサポート用として開発<br>されたものの、当のランスロットがサ<br>ポートを必要としないほど強かったた<br>め、行き場を失った騎士。今では単体<br>で『外敵』との戦いに身を投じている。<br>文学や演劇に詳しく、悲恋を好むため<br>か、『もしも私がフラれた時は、自分<br>の死体を小舟に乗せて相手の男に送り<br>付けたい』とか困った事を考えている。,竹岡美穂,上坂 すみれ,FEMALE,81,55,79,147,39,RIGHT,,,,,,,,,女性,B:81、W:55、H:79,147cm,39kg,右,,,,,,,,,女性,B:81、W:55、H:79,147cm,39kg,右,,,,,,,,,えー！？　王様だったんですか！？<br>全然そんな風には見えない…って、すみません！<br>威厳がないとかそういう意味じゃなくて！,騎士と学問の両立。文武両道は大変<br>ですけど、アーサーのためですね！,バーナード様が褒めてくれたんです。<br>お前には驚かされるよって！,また一つ賢くなりました！<br>バーナード様、褒めてくれるかな？,もう少しでモノにできそうです。<br>もっと訓練をお願いできますか？,勉強は大変ですけど、<br>実感できるから好きなんです！,実地訓練ですか！　分かりました！<br>バッタバッタとなぎ倒しましょう！,ここから来たら、こう出るっ！<br>よしっ、これで訓練通りです！,やったー！　お宝ゲットですよ！<br>えへへ、褒めてくれますー？,強そうなの見つけましたっ…！<br>ここは慎重に、慎重にっ。,もっと頑張りたいって思うんです。<br>頼りになる王様がいるからですね。,アーサーと一緒に居ると、それだけで賢くなれる<br>ような気がするんです！　これでバーナード様の<br>学園も無事卒業…じゃないですよね、はい…。,痛くてもごめんなさーい！,癒しの祈り、受け取ってくださいっ！,も、もう一回やらせてください！,600290010,600290020,600290030,600290010,600290050,600290030,600290020,600290080,600290080,600290100,,
10000101,10000101,10000099,悲恋の乙女,支援型アストラトエレイン,,MILLIONRARE,5,1371,1904,0,228,317,0,0,0,0,0,0,0,60,65,,100,100,500,11100441,11100442,,1,2,10000101,0,10000101,1,L,10,106,30000,,,ランスロットのサポート用として開発<br>されたものの、当のランスロットがサ<br>ポートを必要としないほど強かったた<br>め、行き場を失った騎士。今では単体<br>で『外敵』との戦いに身を投じている。<br>文学や演劇に詳しく、悲恋を好むため<br>か、『もしも私がフラれた時は、自分<br>の死体を小舟に乗せて相手の男に送り<br>付けたい』とか困った事を考えている。,竹岡美穂,上坂 すみれ,FEMALE,81,55,79,147,39,RIGHT,,,,,,,,,女性,B:81、W:55、H:79,147cm,39kg,右,,,,,,,,,女性,B:81、W:55、H:79,147cm,39kg,右,,,,,,,,,バーナード様の授業は退屈なんですけど、<br>これも立派な騎士になるためです！<br>勉強がんばり…ます……、ぐー………。,攻撃よりも支援の方が得意なんです。<br>適材適所でお願いしますね！,えへへ、バーナード様が教えてくれた<br>ことにも、意味があったんですね。,こんなところで満足しませんよ！<br>もっともっと上を目指しますね！,私なりに勉強法を考えてみたんです。<br>効果が出てよかったなぁ…。,えへへ、ばっちりですよ。<br>大変よくできました！,いざ！<br>探索の旅へしゅっぱーつ！,皆さんから教えてもらったことを<br>活かすなら、今です！,んしょ…箱ごと持ってきましたけど、<br>んしょ…お、重い…。,あいつ強そうです…ひぃっ！？<br>目！　いま目が合いましたっ！？,えへへ、あなた様のためにも、もっと<br>立派な騎士になれたらいいなぁ…。,本当の強さや力なんて私には分かりませんけど、<br>大切な人を守るためなら、どんなことだって<br>できちゃう気がするんです。えへへ♪,みんなを傷つけるのは許しませんっ！,よかった、間に合ったみたいです！,次はもっとうまくやりますから！,600290010,600290020,600290030,600290010,600290050,600290030,600290020,600290080,600290080,600290100,,
10000093,10000093,10000093,騎士,支援型イテール,,RARE,0,216,320,0,27,40,0,0,0,0,27,40,0,30,35,,100,50,500,11400031,11400032,,1,1,10000093,0,10000093,1,M,10,103,1000,,,イテール本人の戦闘能力よりも、その<br>身に纏う豪奢な鎧を取り出す事を目的<br>に作られた特殊な騎士。真っ赤な鎧は<br>パーシヴァルへ譲渡される事になる。<br>単体としての力も、当初思っていたよ<br>り高かったため、『外敵』との実戦へ<br>投入される事に。,だんちょ,喜多村 英梨,FEMALE,79,57,82,156,48,RIGHT,,,,,,,,,女性,B:79、W:57、H:82,156cm,48kg,右,,,,,,,,,女性,B:79、W:57、H:82,156cm,48kg,右,,,,,,,,,あ、アーサー！　勝手に私の部屋に<br>入っちゃダメだからね？　その…人には<br>見せられないものがたくさんあるから…。,キミが欲しいの私の鎧でしょ？<br>そんなのわかってるんだからね！,キミが欲しいの私の鎧でしょ？<br>そんなのわかってるんだからね！,ふん！　鎧だけ女だと思ったら<br>大間違いなんだからね！,よ～し、これでオッケー！<br>何事も備えあれば憂いなし、だよ！,これだけ強くなれば<br>文句ないよね？　ふふん♪,い、いつどこに悪いヤツが<br>潜んでるかわからないからね！,しょうがないな～。<br>ちょっとだけ優しくしてあげるよ。,お宝かな…？　でも怖いな～…。<br>欲しいならキミが拾いにいけば？,アイツ、すっごく強そう…。<br>負けたら身ぐるみ剥がされそう…。,すこしは信用してあげてもいいよ？<br>で、でも調子には乗らないでね！,どうせキミもみんなと同じで私の鎧だけが<br>目当てなんでしょ？　…違う？　…本当に？　<br>ふ～ん…キミって変わってるね。,私の鎧をいやらしい目で見るな！,後衛の仕事も大事な役目だよね？,ねぇ、もうあきらめようよ…。,600270010,600270020,600270030,600270010,600270050,600270030,600270020,600270090,600270090,600270100,,
